Identifiant,NomGroupePlat,NumPlat,Aliment,NomFamPlat,TextRecette,Viande,Poisson,Ig(bas:55 ou moins; moyen: 56-60 élevé: >ou=70),MacroN,Végé,sansGluten,cétogène,DurPrep,SaisDeb,SaisFin,NumIng1,QteIng1,UniteIng1,NumIng2,QteIng2,UniteIng2,NumIng3,QteIng3,UniteIng3,NumIng4,QteIng4,UniteIng4,NumIng5,QteIng5,UniteIng5,NumIng6,QteIng6,UniteIng6,NumIng7,QteIng7,UniteIng7,NumIng8,QteIng8,UniteIng8,NumIng9,QteIng9,UniteIng9,NumIng10,QteIng10,UniteIng10,NumIng11,QteIng11,UniteIng11,NumIng12,QteIng12,UniteIng12,NumIng13,QteIng13,UniteIng13,NumIng14,QteIng14,UniteIng14,NumIng15,QteIng15,UniteIng15,NumIng16,QteIng16,UniteIng16,NumIng17,QteIng17,UniteIng17,NumIng18,QteIng18,UniteIng18,NumIng19,QteIng19,UniteIng19,NumIng20,QteIng20,UniteIng20,Prix,Diff,Medi,Sanssel,Porc
78,Légumes-saison,13,Fenouil,Curry aux fenouil et pois chiches,"Cuire à la vapeur le fenouil préalablement coupé en morceaux pendant 15 min.. Chauffer un peu d'huile d'olive ,faire revenir l'oignon et l'ail jusqu'à ce qu'ils soient dorés.
Ajouter le fenouil et faire revenir pendant quelques minutes. Incorporer la poudre de curry, le curcuma et le cumin et bien mélanger .Verser le lait de coco dans la poêle. Ajouter les pois chiches cuits. Assaisonner avec du sel et du poivre selon votre goût. Laisser mijoter pendant 5minutes.Servir chaud, garni de coriandre fraîche si désiré,",non,non,moyen,P-L-G,non,non,non,30,avril,décembre,20028,200,g,20532,200,g,20034,20,g,11023,5,g,18041,100,ml,11005,1,pincée,11089,1,pincée,11042,2,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
79,Légumes-saison,14,Fenouil,Curry aux fenouil et Lentilles,"Rincer les lentilles puis les cuires à l'eau bouillante sans sel suivant les instructions(généralement 25min). cuire à la vapeur le fenouil préalablement coupé en morceaux.Faire revenir l'oignon haché et l'ail émincé dans un peu d'huile jusqu'à ce qu'ils soient dorés. Ajoutez le fenouil dans la poêle et faire sauter pendant quelques minutes. Incorporer les lentilles, les tomates concassées, le lait de coco, le curry et le curcuma dans la poêle. Mélangez bien.",non,non,bas,P-L-G,non,non,non,35,avril,décembre,20028,150,g,20587,100,g,20276,200,g,18041,100,ml,20034,50,g,20034,10,g,11005,1,pincée,11089,1,pincée,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,très facile,oui,<7g,non
80,Légumes-saison,15,Fenouil,Curry de poulet aux fenouils,"Cuire à la vapeur le fenouil pendant 10 min. Faire revenir l'oignon et l'ail dans un peu d'huile jusqu'à ce qu'ils soient dorés. Ajoutez le poulet et faire cuire jusqu'à ce qu'il soit doré.  Versez le lait de coco et ajoutez la poudre de curry. Mélangez bien et laissez mijoter jusqu'à ce que le poulet soit cuit. Ajoutez le fenouil, assaisonnez avec du sel et du poivre selon votre goût. Garnissez de coriandre fraîche avant de servir.",oui,non,bas,P-L,non,non,non,25,avril,décembre,20028,300,g,36040,150,g,18041,100,ml,15055,10,g,20034,5,g,20034,50,g,11005,1,pincée,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
81,Légumes-saison,16,Fenouil,Petits pois à la menthe et fenouils rôtis au four,"Préchauffez votre four à 200°C (390°F). Dans un grand bol, mélangez les quartiers de fenouils, les quartiers d'oignon rouge et les rondelles de carottes avec l'huile d'olive, le romarin frais, le sel et le poivre noir moulu. Placez la plaque de cuisson au four préchauffé et faire rôtir les légumes pendant environ 25 minutes, en remuant à mi-cuisson pour une cuisson uniforme. Hacher les feuilles de menthe et les cuires avec les petis pois pendant environ 5min.",non,non,moyen,P-G,non,non,non,30,avril,décembre,20028,200,g,20009,100,g,20036,140,g,17270,15,ml,20238,50,g,11068,5,g,11027,5,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
82,Légumes-saison,17,Fenouil,Gratin aux fenouil et pommes de terre,"Préchauffez votre four à 180°C (350°F).Huilez le petit moule allant au four.Coupez le fenouil, la pomme de terre en rondelles.Disposez une couche d'fenouil au fond du moule, puis une couche de rondelles de pomme de terre. Saupoudrez d'ail émincé sur les légumes, puis assaisonnez avec du sel et du poivre selon votre goût.Verser la crème fraîche sur les légumes.
Saupoudrez le fromage râpé sur le dessus du gratin.Couvrez le moule d'une feuille de papier aluminium et enfournez pendant environ 25 minutes.Retirez le papier aluminium et poursuivez la cuisson pendant encore 15 à 20 minutes, ou jusqu'à ce que le fromage soit doré et que les légumes soient tendres.Laissez reposer quelques minutes avant de servir chaud..",non,non,élevé,L-G,non,non,non,55,avril,décembre,20028,200,g,4008,150,g,12060,50,g,19430,50,ml,17270,5,ml,11023,5,g,16410,5,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
83,Légumes-saison,18,Fenouil,Curry de fenouil et dinde,"Cuire le riz selon les indications(45min). cuire au préalable le fenouilà la vapeur pendant 10min. Faites chauffer un peu d'huile dans une casserole à feu moyen.Ajoutez l'oignon émincé et l'ail émincé, et faites-les revenir jusqu'à ce qu'ils soient dorés et parfumés.Ajoutez les morceaux de dinde et faites-les dorer de tous les côtés. Ajoutez le fenouil et mélangez bien.
Incorporer la poudre de curry et bien enrober la viande et les légumes.Versez le lait de coco et le bouillon dans la casserole et portez à ébullition.Réduisez le feu et laissez mijoter doucement pendant environ 10 minutes. Assaisonnez avec du sel et du poivre selon votre goût.Servez le curry de fenouil chaud avec du riz basmati cuit.",oui,non,bas,P-L,non,non,non,45,avril,décembre,20028,200,g,36304,100,g,25948,50,ml,9120,70,g,18041,100,ml,11023,5,g,20034,25,g,11005,10,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
84,Légumes-saison,19,Fenouil,fenouil braisés à la saucisse de Toulouse,"Cuire au préalable le fenouil à la vapeur pendant 10min. Dans une poêle, faites chauffer l'huile d'olive à feu moyen. Ajoutez la saucisse de Toulouse dans la poêle et faites-la cuire jusqu'à ce qu'elle soit dorée de tous les côtés.Retirez la saucisse de la poêle et réservez-la.Dans la même poêle, ajoutez le fenouil et faites-les revenir pendant quelques minutes jusqu'à ce qu'ils soient légèrement dorés.Ajoutez l'ail émincé et faites cuire pendant une minute de plus.Remettez la saucisse de Toulouse dans la poêle avec le fenouilet l'ail.Versez le bouillon de légumes  dans la poêle et couvrez.Laissez mijoter jusqu'à ce que le fenouil soient tendres et que la saucisse soit bien cuite.Assaisonnez avec du sel et du poivre selon votre goût.",oui,non,bas,P-L,non,non,non,25,avril,décembre,20028,200,g,30110,100,g,9870,60,g,17270,15,ml,11107,100,ml,11023,5,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
85,Légumes-saison,20,Fenouil,Filet de cabillaud cuit au four et fenouil,"Cuire au préalable le fenouil à la vapeur pendant 10min.Préchauffez votre four à 200°C .Émincez finement la gousse d'ail. Disposez le fenouildans un plat allant au four préalablement huilé.
Déposez le filet de poisson sur le fenouil. Répartissez l'ail émincé sur le poisson.
Arrosez le tout d'un filet d'huile d'olive. Ajoutez les brins de thym frais par-dessus. Assaisonnez avec du sel et du poivre selon votre goût. Enfournez le plat dans le four préchauffé et laissez jusqu'à ce que le poisson soit cuit .",non,oui,bas,P-L,non,non,non,20,avril,décembre,20028,300,g,26043,200,g,17270,20,ml,19430,50,ml,5215,50,ml,25948,50,ml,11023,5,g,11070,10,g,20097,30,g,11014,1,pincée,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
86,Légumes-saison,21,Fenouil,Filet de dorade cuit au four et fenouil,"Cuire au préalable le fenouil à la vapeur pendant 10min.Préchauffez votre four à 200°C. Émincez finement la gousse d'ail. Disposez le chou-fleuri dans un plat allant au four préalablement huilé.
Déposez le filet de poisson sur le fenouil. Répartissez l'ail émincé sur le poisson. Arrosez le tout d'un filet d'huile d'olive. Ajoutez les brins de thym frais par dessus.Assaisonnez avec du sel et du poivre selon votre goût. Enfournez le plat dans le four préchauffé et laissez jusqu'à ce que le poisson soit cuit..",non,oui,bas,P-L,non,non,non,20,avril,décembre,20028,300,g,26043,200,g,17270,20,ml,11023,5,g,20097,10,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
87,Légumes-saison,22,Fenouil,Pavé de saumon grillé et fenouil sauté,"Faites cuire le fenouil à la vapeur pendant 10 minutes. Assaisonnez le pavé de saumon.Faites chauffer un peu d'huile d'olive dans une poêle à feu moyen. Ajoutez le fenouil dans la poêle chaude pendant quelques minutes,retirez-les de la poêle et réservez-les. Dans la même poêle, ajoutez un peu plus d'huile d'olive si nécessaire, puis placez le pavé de saumon côté peau vers le bas.Faites cuire le saumon pendant environ 4-5 minutes de chaque côté.Une fois que le saumon est cuit, servez-le chaud avec le chou-fleur sautées",non,oui,bas,P-L,non,non,non,20,avril,décembre,20028,300,g,26161,200,g,15010,10,g,17270,30,ml,11014,10,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
88,Légumes-saison,23,Fenouil,Filet de cabillaud aux légumes(+fenouil ),"Cuire au préalable le fenouil à la vapeur pendant 10 min. Préchauffez le four à 200°C.Placez une grande feuille de papier sulfurisé sur une plaque de cuisson.Disposez le filet de cabillaud au centre de la feuille de papier sulfurisé. Disposez le fenouil, les rondelles de courgette, les lanières de poivron rouge et les oignons émincés autour du cabillaud.Arrosez le tout avec de l'huile d'olive et assaisonnez avec du sel et du poivre selon votre goût. Placez les tranches de citron sur le dessus du cabillaud. Repliez la feuille de papier sulfurisé sur le poisson et les légumes pour former une papillote hermétique.Mettez la plaque de cuisson au four et faites cuire pendant environ 15-20 minutes, ou jusqu'à ce que le cabillaud soit cuit à travers et que les légumes soient tendres.Retirez la papillote du four, ouvrez-la avec précaution et transférez le contenu dans une assiette.",non,oui,bas,P-L-G,non,non,non,25,avril,octobre,20028,150,g,20020,100,g,20087,50,g,26043,200,g,20238,25,g,17270,15,ml,2007,50,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
89,Légumes-saison,24,Fenouil,Cabillaud en croûte de noisettes+ purée aux fenouil,"Cuire au préalable le fenouil à la vapeur pendant 10 min.Préchauffez votre four à 180°C.Dans un petit bol, mélangez les noisettes concassées avec une pincée de sel et de poivre.Assaisonnez le filet de poisson.Enrobez le filet de poisson avec le mélange de noisettes concassées.Disposez le filet de poisson sur une plaque de cuisson recouverte de papier sulfurisé et enfournez-le pendant environ 15-20 minutes, jusqu'à ce qu'il soit cuit à votre goût. Epluchez et coupez les carottes en dés. . Égouttez les légumes, puis passez-les au mixeur avec la crème fraîche et le beurre. Rectifiez l'assaisonnement de la purée avec du sel et du poivre selon votre goût.",non,oui,bas,P-L-G,non,non,non,30,avril,décembre,20028,150,g,20009,50,g,26043,200,g,15004,20,g,19430,50,ml,17270,5,ml,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
90,Légumes-saison,25,Fenouil,Fenouils et escalope de poulet aux olives,"Cuire au préalable le fenouil à la vapeur pendant 10 min. Dans une poêle, poursuivre la cuission des fenouil  avec l'ail, les herbes et épices pendant 5 min, rajoutez un peu d'eau si nécessaire. En parallèle cuire l'escalope à la poêle avec l'huile d'olive, puis ajoutez la crème, les olives et les herbes de provence.",non,oui,bas,P-L,non,non,non,25,avril,décembre,20028,250,g,36029,160,g,13033,30,g,19430,50,ml,17270,10,ml,11023,5,g,11003,10,g,11060,10,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
91,Légumes-saison,26,Fenouil,Cabillaud aux fenouils,"Rincer le fenouil et le cuire au préalable à la vapeur pendant 10 min. Puis le mettre dans une casserole, ajouter les oignons, le persil et un verre de vin blanc. Laissez cuire à feu moyen 10 minutes. cuire le poisson séparément dans une poêle avec l'huile d'olive. Ajoutez la crème fraiche, saler et poivrer.",oui,non,bas,P-L,non,non,non,30,avril,décembre,20028,300,g,26043,100,g,19430,50,ml,17270,20,ml,5215,50,ml,11014,5,g,20238,30,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
92,Légumes-saison,27,Fenouil,Fenouils & pommes de terre en épices,"Rincer le fenouil et le cuire au préalable à la vapeur pendant 10 min. cuire à la vapeur les pommes de terre. Faire revenir les oignons dans de l'huile d'olive, y verser le fenouil et pommes de terre, les faire revenir 5min à feu moyen.  Ajouter les autres ingrédients et laisser encore 2min à faible cuisson.",non,non,moyen,P-L-G,non,non,non,30,avril,décembre,20028,100,g,4008,200,g,20504,100,g,13033,45,g,17270,10,ml,5215,10,g,20034,30,g,11052,5,g,11094,15,g,11042,5,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
93,Légumes-saison,28,Fenouil,"Fenouil, crevettes et feta à la grecque","Chauffer l’huile dans une grande poêle à frire. Ajouter les oignons et cuire doucement à feu moyen pendant 5min. Ajouter l’ail et les flocons de piments et cuire 1min de plus. Ajouter ensuite le vin et laisser évaporer complètement. Ajouter le fenouil ,le sel et le poivre et porter à ébullition, remuer constamment, jusqu’à l’obtention d’un mélange consistant: de 10 à 15 minutes. Ajouter les crevettes et bien brasser pour les incorporer aux fenouils. Transférer dans un plat allant au four. Saupoudrer le feta et les olives sur les crevettes. Enfourner dans un four préchauffé à 190°C (375°F) pendant 10 à 15 minutes, jusqu’à cuisson complète. Saupoudrer de persil.",non,oui,bas,P-L-G,non,non,non,40,mai,octobre,20028,200,g,10021,100,g,13033,45,g,17270,15,ml,12061,50,g,5215,10,ml,11023,5,g,20034,30,g,20151,1,pincée,11014,10,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
94,Légumes-saison,29,Fenouil,Poulet aux fenouils et aux herbes,"Cuire le riz suivant les instructions.Faites chauffer l'huile d'olive dans une poêle à feu moyen.Ajoutez le filet de poulet et faites-le dorer de chaque côté pendant environ 5 minutes. Retirez-le de la poêle et réservez.Dans la même poêle, ajoutez l'oignon émincé et faites-le revenir jusqu'à ce qu'il devienne translucide. Ajoutez l'ail haché et faites-le revenir pendant 1min de plus. Ajoutez les dés de fenouils et le concentré de tomate. Mélangez bien.
Ajoutez le thym, l'origan, le sel et le poivre. Laissez mijoter pendant environ 10min. Remettez le filet de poulet dans la poêle avec la sauce fenouil. Laissez mijoter pendant 5min de plus pour que le poulet s'imprègne bien des saveurs de la sauce. Servez le avec du riz cuit.",oui,non,moyen,P-L-G,non,non,non,30,mai,octobre,20028,250,g,20068,15,g,36040,200,g,9119,60,g,17270,15,ml,11023,5,g,20034,30,g,11038,1,g,11035,1,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
95,Légumes-saison,30,Fenouil,Tarte aux fenouils et à la Crème de Parmesan,"Préchauffez votre four à 200°C (390°F).
Déroulez la pâte feuilletée et découpez un rectangle. Placez la pâte sur une plaque de cuisson recouverte de papier sulfurisé. Piquez-la légèrement avec une fourchette pour éviter qu'elle ne gonfle trop pendant la cuisson. Dans un bol, mélangez la crème fraîche avec la moutarde de Dijon et le parmesan râpé jusqu'à obtenir une consistance homogène. Étalez cette crème sur la pâte feuilletée en laissant une bordure d'environ 1 cm tout autour. Coupez la fenouil en fines tranches et disposez les de manière uniforme sur la crème de parmesan.Saupoudrez le fenouil avec les herbes de Provence, le sel et le poivre.
Arrosez légèrement d'huile d'olive.
Enfournez la tarte dans le four préchauffé et laissez cuire pendant 20 à 25 minutes, 
Garnissez avec des feuilles de basilic frais avant de servir.",non,non,moyen,L-G,non,non,non,40,mai,octobre,20028,150,g,23424,75,g,12120,30,g,19430,30,ml,17270,5,g,11013,5,g,11060,2,g,11033,3,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
96,Légumes-saison,31,Fenouil,"Tarte aux fenouils,tomate et au romarin","Préchauffez votre four à 200°C (390°F).
Lavez la fenouil et tomates, puis coupez-les en tranches fines. Effeuillez quelques brins de romarin.Étalez la pâte brisée ou feuilletée sur une surface légèrement farinée. Transférez-la sur une plaque de cuisson recouverte de papier sulfurisé.
 Disposez les tranches de fenouil et de tomates de manière alternée sur la pâte, en les chevauchant légèrement. Parsemez les brins de romarin sur les légumes.
Saupoudrez de fromage de chèvre émietté.
Arrosez d'huile d'olive. Salez et poivrez selon votre goût.
Sortez la tarte du four et laissez-la reposer quelques minutes avant de la découper.
Servez chaud.",non,non,moyen,L-G,non,non,non,30,mai,septembre,20028,150,g,20276,150,g,23424,75,g,12120,30,g,12800,30,g,17270,5,g,11013,5,g,11060,2,g,11068,2,g,11033,2,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
97,Légumes-saison,32,Fenouil,Poulet aux fenouils et aux tomates,"Cuire le riz suivant les instructions.Faites chauffer l'huile d'olive dans une poêle à feu moyen.Ajoutez le filet de poulet et faites-le dorer de chaque côté pendant environ 5 minutes. Retirez-le de la poêle et réservez.Dans la même poêle, ajoutez l'oignon émincé et faites-le revenir jusqu'à ce qu'il devienne translucide. Ajoutez l'ail haché et faites-le revenir pendant 1min de plus. Ajoutez le fenouil et les dés de  tomates. Mélangez bien.
Ajoutez le thym, l'origan, le sel et le poivre. Laissez mijoter pendant environ 10min. Remettez le filet de poulet dans la poêle avec la sauce fenouil. Laissez mijoter pendant 5min de plus pour que le poulet s'imprègne bien des saveurs de la sauce.Servez le avec du riz cuit.",oui,non,moyen,P-L-G,non,non,non,30,mai,septembre,20028,150,g,20276,150,g,36040,200,g,9119,60,g,17270,15,ml,11023,5,g,20034,30,g,11038,1,g,11035,1,g,11033,2,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
98,Légumes-saison,1,Epinard,"Poulet,épinards, tomates et  basilic","Cuire à la vapeur les épinards pendant 10 min.Dans une grande casserole, faites dorer les filets de poulet, puis réservez. Faites ensuite revenir les oignons et l'ail dans l'huile, remettez les filets et ajoutez les tomates. Couvrez et laissez mijoter 30min (ajoutez un peu d'eau si nécessaire en milieu de cuisson), ajoutez le basilic en fin de cuisson.",oui,non,bas,P-L,non,non,non,40,avril,décembre,20059,200,g,36040,120,g,17270,10,ml,20276,200,g,13186,40,g,13186,30,g,20034,20,g,11033,10,g,11023,5,g,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
99,Légumes-saison,2,Epinard,Tarte thon épinards sans pâte,"Cuire au préalable à la vapeur les épinards pendant 10 min. Egouttez la boite de thon dans une passoire. Battre dans un saladier les œufs, y rajouter la crème, l'huile d'olive, le fromage. Bien mélanger. Rajoutez les épinards puis le thon, les herbes, l'ail, la ciboulette et l'aneth. salez, poivrez, mélangez. Versez la préparation dans un plat en verre pour le four. Enfournez 35 min à 180°C. 5 minutes avant la fin, parsemez le dessus du reste de fromage, enfournez à nouveau.",non,oui,bas,P-L,non,non,non,60,avril,décembre,20059,200,g,26053,150,g,22000,2,oeuf,19430,50,ml,12804,50,g,17270,10,ml,11023,1,pincée,11093,2,pincée,11003,2,pincée,11060,2,pincée,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
100,Légumes-saison,3,Epinard,"Super poêlée Provençale,épinards","Faire bouillir le riz dans de l'eau salée en suivant les récommandations. cuire à la vapeur les épinards pendant 10 min. Faire revenir l'oignon coupé en rondelles et l'ail dans de l'huile d'olive dans une poêle. Couper les légumes en rondelles ou en dés suivant la forme des légumes. Ajouter les avec les champignons, les olives, les tomates le persil (broyé) et les herbes dans la poêle. Ajouter le jus de citron. Laisser cuire 5 minutes à feu fort. Mouiller avec le bouillon dilué dans un verre d'eau. Laisser fondre à feu moyen pendant 15 minutes, jusqu'à ce que les légumes soient bien moelleux. Saler, poivrer. Servir avec le riz.",non,non,moyen,L-G,non,non,non,25,avril,décembre,20059,150,g,20039,150,g,20276,100,g,9109,70,g,13186,30,g,17270,20,ml,13067,40,g,11014,10,g,20034,30,g,11023,5,g,20228,50,g,25947,10,g,11060,100,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
101,Légumes-saison,4,Epinard,Foie au vinaigre et aux épinards,"Cuire au préalable à la vapeur les épinards pendant 10 min. Pendant ce temps, faites cuire la tranche de foie dans un peu d'huile. Quand elle est bien dorée, salez, poivrez et ajoutez le vinaigre, selon vos goûts. Laissez mijoter selon la cuisson du foie, puis mettez la de côté, en la gardant au chaud. Dans le jus de cuisson, faites fondre les échalotes émincées, puis ajoutez un peu de fond de veau.,puis rajoutez la muscade et du persil en poudre. Nappez la tranche de foie et les épinards de cette sauce.",oui,non,bas,P-L,non,non,non,30,avril,décembre,20059,300,g,40106,100,g,13186,50,g,20097,75,g,17270,20,ml,11304,10,g,11090,50,ml,11048,1,pincée,11024,5,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
102,Légumes-saison,5,Epinard,Lieu noir à la menthe et épinards,"Dans une caserole,portez à ébullition 2 volumes d'eau pour un volume de quinoa et laisser cuire le quinoa pendant 15 minutes. cuire à la vapeur les épinards pendant 10 min.. Dans une poêle diluez le cube dans de l'eau, puis faites chauffer quelques minutes jusqu’à dissolution de celui-ci. Attention à ne pas mettre trop d'eau. Rajoutez le chou-fleur, l'huile d'olive, et cuire à feu moyen pendant 5min, puis ajoutez la menthe ciselée, la ciboulette, le persil en fin de cuisson. Enlevez le surplus d'eau et réservez. Poêlez le lieu noir lentement du côté peau, à feu doux pendant 5 minutes, saupoudrez de sésame sans le brûler, salez et poivrez-le en fin de cuisson. Montez l'assiette avec le quinoa et le poisson recouvert de jus de citron ..",non,oui,moyen,P-G,non,non,non,30,avril,décembre,20059,150,g,9340,60,g,26134,200,g,15010,20,g,17270,20,ml,2007,5,ml,11172,1,g,11027,10,g,11014,15,g,11003,15,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
103,Légumes-saison,6,Epinard,Omelette aux épinards,"Cuire au préalable à la vapeur les épinards découpé en petitx morceaux pendant 10min. Dans un bol, battez les œufs avec le lait. Ajoutez le sel et le poivre, et mélangez bien. Faites chauffer l'huile d'olive dans une poêle à feu moyen. Ajoutez l'oignon et faites-le revenir pendant 2-3 minutes jusqu'à ce qu'il soit translucide. Ajoutez l'ail et faites cuire encore 1 minute. Versez la garniture dans la poêle et laissez cuire le mélange 2-3 minutes.",non,non,bas,P-L,non,non,non,15,avril,décembre,20059,100,g,22000,2,oeuf,19060,30,ml,12060,10,g,15011,10,g,17270,15,ml,20034,30,g,11023,5,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
104,Légumes-saison,7,Epinard,Gratin aux épinards et brochette de poisson,"Cuire au préalable à la vapeur le chou-fleur pendant 10 min. Disposez les légumes dans un plat à gratin Versez la crème liquide dessus. Salez, poivrez et ajoutez l'ail en poudre puis parsemez de fromage râpé, mettre au four 8-10min jusqu'à ce que le fromage soit légèrement grillé. Pendant ce temps cuire le poisson dans un peu d'huile d'olive dans une poêle.  Garnir le poisson aux herbes de provance",non,oui,bas,P-L,non,non,non,30,avril,décembre,20059,300,g,25539,150,g,19430,100,ml,12804,50,ml,17270,5,g,11060,2,ml,20034,30,g,11023,2,pincée,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
105,Légumes-saison,8,Epinard,Poulet à la libanaise,"Cuire au préalable à la vapeur les épinards pendant 10 min. Mélanger les ingrédients de la marinade : le poulet avec 2 cuillères à soupe d'huile, 1  cuillère à soupe de jus de citron, 0,5 cuillère à café de cumin, 0,5 de cannelle, 0,5 mélange 4 épices, 0,5 de poivre de cayenne), piler 1 gousse d'ail, saler; mélanger. Filmer et entreposer 12 heures au réfrigérateur. Couper un citron en tranche, presser le jus de l'autre citron. Mettre le poulet dans un plat à gratin, avec le chou-fleur coupé en petits morceaux, les citrons coupés en tranches et le jus de citron. Mélanger l’ensemble. Enfourner à 180 °C pendant 45 minutes. Emincer l'oignon rouge, effeuiller et hacher le persil. Pendant ce temps cuire le riz dans l'eau bouillante. A la sortie du four, agrémentez le poulet d’oignon rouge émincé et de persil haché.",oui,non,moyen,P-L-G,non,non,non,60,avril,décembre,20059,150,g,36040,140,g,9120,60,g,17270,5,ml,11014,10,g,11023,5,g,20238,30,ml,2007,2,citron,11042,1,g,11025,1,g,11081,0.5,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
106,Légumes-saison,9,Epinard,Epinards au lait de coco,"Cuire au préalable à la vapeur les épinards pendant 15 min. Mettre les oignons dans une casserole après les avoir préparés et coupés en fines lamelles, avec un peu d’huile d’olive. Couper la viande en petits morceaux. Ajouter et faire revenir les morceaux de viande. Ajouter le lait de coco. Puis ajouter l’ail écrasé, le poivre, le sel, le thym, le cumin, le persil et le laurier. Mélanger et déguster.",oui,non,bas,P-L,non,non,non,30,avril,décembre,20059,300,g,28302,150,g,18041,50,ml,15055,15,g,20034,30,g,11023,5,g,11014,10,g,11070,2,g,11042,2,g,11053,2,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,oui
107,Légumes-saison,10,Epinard,Epinards aux lardons,"Cuire les épinards à la vapeur pendant 15min. Le gruyère peut être remplacé par du fromage de chèvre ou même sans fromage, en ajoutant un peu plus de crème fraiche à la place. Faites revenir l'ail et les oignons, puis les lardons. Une fois cuits, y ajouter les épinards et la crème. Moudre en petits morceaux les graines de courge, ou entières, comme vous préférez, puis les ajouter au mélange",oui,non,bas,P-L,non,non,non,25,avril,décembre,20059,300,g,28501,50,g,15028,10,g,17270,2,ml,19430,50,ml,12060,10,g,20238,10,g,11023,5,g,11024,2,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
